model,family,frame_id,target_word,N,attn_per_target_token,attn_total_to_target_block,n_target_positions
allenai/OLMo-2-1124-7B,CLM,F0,frog,5,0.014062821865081787,0.05625128746032715,4
allenai/OLMo-2-1124-7B,CLM,F0,frog,10,0.01004580987824334,0.09041228890419006,9
allenai/OLMo-2-1124-7B,CLM,F0,frog,20,0.00725127521314119,0.13777422904968262,19
allenai/OLMo-2-1124-7B,CLM,F0,frog,30,0.005493225722477354,0.15930354595184326,29
allenai/OLMo-2-1124-7B,CLM,F0,thought,0,,,0
allenai/OLMo-2-1124-7B,CLM,F0,thought,1,,,0
allenai/OLMo-2-1124-7B,CLM,F0,thought,3,0.016176223754882812,0.032352447509765625,2
allenai/OLMo-2-1124-7B,CLM,F0,thought,5,0.011803030967712402,0.04721212387084961,4
allenai/OLMo-2-1124-7B,CLM,F0,thought,10,0.007566822899712456,0.06810140609741211,9
allenai/OLMo-2-1124-7B,CLM,F0,thought,20,0.004757371387983623,0.09039005637168884,19
allenai/OLMo-2-1124-7B,CLM,F0,thought,30,0.003619661618923319,0.10497018694877625,29
allenai/OLMo-2-1124-7B,CLM,F0,space,0,,,0
allenai/OLMo-2-1124-7B,CLM,F0,space,1,,,0
allenai/OLMo-2-1124-7B,CLM,F0,space,3,0.015443563461303711,0.030887126922607422,2
allenai/OLMo-2-1124-7B,CLM,F0,space,5,0.012685924768447876,0.050743699073791504,4
allenai/OLMo-2-1124-7B,CLM,F0,space,10,0.008497562673356798,0.07647806406021118,9
allenai/OLMo-2-1124-7B,CLM,F0,space,20,0.005859414213582089,0.11132887005805969,19
allenai/OLMo-2-1124-7B,CLM,F0,space,30,0.004435519719945973,0.12863007187843323,29
allenai/OLMo-2-1124-7B,CLM,F0,ankle,0,,,0
allenai/OLMo-2-1124-7B,CLM,F0,ankle,1,,,0
allenai/OLMo-2-1124-7B,CLM,F0,ankle,3,0.013366162776947021,0.026732325553894043,2
allenai/OLMo-2-1124-7B,CLM,F0,ankle,5,0.010958515107631683,0.04383406043052673,4
allenai/OLMo-2-1124-7B,CLM,F0,ankle,10,0.0068587760130564375,0.061728984117507935,9
allenai/OLMo-2-1124-7B,CLM,F0,ankle,20,0.01602417230606079,0.30445927381515503,19
allenai/OLMo-2-1124-7B,CLM,F0,ankle,30,0.01464122122731702,0.4245954155921936,29
allenai/OLMo-2-1124-7B,CLM,F0,virtue,0,,,0
allenai/OLMo-2-1124-7B,CLM,F0,virtue,1,,,0
allenai/OLMo-2-1124-7B,CLM,F0,virtue,3,0.014659792184829712,0.029319584369659424,2
allenai/OLMo-2-1124-7B,CLM,F0,virtue,5,0.01144157350063324,0.04576629400253296,4
allenai/OLMo-2-1124-7B,CLM,F0,virtue,10,0.007029291656282213,0.06326362490653992,9
allenai/OLMo-2-1124-7B,CLM,F0,virtue,20,0.004532523845371447,0.0861179530620575,19
allenai/OLMo-2-1124-7B,CLM,F0,virtue,30,0.017586272338341022,0.5100018978118896,29
allenai/OLMo-2-1124-7B,CLM,F0,moon,0,,,0
allenai/OLMo-2-1124-7B,CLM,F0,moon,1,,,0
allenai/OLMo-2-1124-7B,CLM,F0,moon,3,0.0177190899848938,0.0354381799697876,2
allenai/OLMo-2-1124-7B,CLM,F0,moon,5,0.012768104672431946,0.05107241868972778,4
allenai/OLMo-2-1124-7B,CLM,F0,moon,10,0.009339729944864908,0.08405756950378418,9
allenai/OLMo-2-1124-7B,CLM,F0,moon,20,0.006793514678352757,0.1290767788887024,19
allenai/OLMo-2-1124-7B,CLM,F0,moon,30,0.005644056817580913,0.1636776477098465,29
allenai/OLMo-2-1124-7B,CLM,F0,crystal,0,,,0
allenai/OLMo-2-1124-7B,CLM,F0,crystal,1,,,0
allenai/OLMo-2-1124-7B,CLM,F0,crystal,3,0.009787291288375854,0.01957458257675171,2
allenai/OLMo-2-1124-7B,CLM,F0,crystal,5,0.008708886802196503,0.03483554720878601,4
allenai/OLMo-2-1124-7B,CLM,F0,crystal,10,0.0056629478931427,0.0509665310382843,9
allenai/OLMo-2-1124-7B,CLM,F0,crystal,20,0.005275821607363851,0.10024061053991318,19
allenai/OLMo-2-1124-7B,CLM,F0,crystal,30,0.004428768980092016,0.12843430042266846,29
