model,family,frame_id,target_word,N,attn_per_target_token,attn_total_to_target_block,n_target_positions
answerdotai/ModernBERT-large,MLM,F0,envy,20,0.009725634988985564,0.1847870647907257,19
answerdotai/ModernBERT-large,MLM,F0,envy,30,0.005903747575036411,0.1712086796760559,29
answerdotai/ModernBERT-large,MLM,F0,anchor,0,,,0
answerdotai/ModernBERT-large,MLM,F0,anchor,1,,,0
answerdotai/ModernBERT-large,MLM,F0,anchor,3,0.044725894927978516,0.08945178985595703,2
answerdotai/ModernBERT-large,MLM,F0,anchor,5,0.027596354484558105,0.11038541793823242,4
answerdotai/ModernBERT-large,MLM,F0,anchor,10,0.01390532652537028,0.12514793872833252,9
answerdotai/ModernBERT-large,MLM,F0,anchor,20,0.006748539836783158,0.12822225689888,19
answerdotai/ModernBERT-large,MLM,F0,anchor,30,0.004534142798390882,0.13149014115333557,29
answerdotai/ModernBERT-large,MLM,F0,moon,0,,,0
answerdotai/ModernBERT-large,MLM,F0,moon,1,,,0
answerdotai/ModernBERT-large,MLM,F0,moon,3,0.045877814292907715,0.09175562858581543,2
answerdotai/ModernBERT-large,MLM,F0,moon,5,0.02833494544029236,0.11333978176116943,4
answerdotai/ModernBERT-large,MLM,F0,moon,10,0.015342013703452216,0.13807812333106995,9
answerdotai/ModernBERT-large,MLM,F0,moon,20,0.007848534929124932,0.14912216365337372,19
answerdotai/ModernBERT-large,MLM,F0,moon,30,0.004625037826340774,0.13412609696388245,29
answerdotai/ModernBERT-large,MLM,F0,life,0,,,0
answerdotai/ModernBERT-large,MLM,F0,life,1,,,0
answerdotai/ModernBERT-large,MLM,F0,life,3,0.04162287712097168,0.08324575424194336,2
answerdotai/ModernBERT-large,MLM,F0,life,5,0.022158801555633545,0.08863520622253418,4
answerdotai/ModernBERT-large,MLM,F0,life,10,0.024965342548158433,0.2246880829334259,9
answerdotai/ModernBERT-large,MLM,F0,life,20,0.011330999826130114,0.21528899669647217,19
answerdotai/ModernBERT-large,MLM,F0,life,30,0.004547212144424175,0.1318691521883011,29
