model,family,frame_id,target_word,N,attn_per_target_token,attn_total_to_target_block,n_target_positions
Qwen/Qwen2.5-7B,CLM,F0,frog,3,0.029233120381832123,0.058466240763664246,2
Qwen/Qwen2.5-7B,CLM,F0,frog,5,0.10132000595331192,0.4052800238132477,4
Qwen/Qwen2.5-7B,CLM,F0,frog,10,0.062360796663496226,0.5612471699714661,9
Qwen/Qwen2.5-7B,CLM,F0,frog,20,0.032291685280046965,0.6135420203208923,19
Qwen/Qwen2.5-7B,CLM,F0,frog,30,0.0214787639420608,0.6228841543197632,29
Qwen/Qwen2.5-7B,CLM,F0,thought,0,,,0
Qwen/Qwen2.5-7B,CLM,F0,thought,1,,,0
Qwen/Qwen2.5-7B,CLM,F0,thought,3,0.02406434156000614,0.04812868312001228,2
Qwen/Qwen2.5-7B,CLM,F0,thought,5,0.07609361410140991,0.30437445640563965,4
Qwen/Qwen2.5-7B,CLM,F0,thought,10,0.05919169717364841,0.5327252745628357,9
Qwen/Qwen2.5-7B,CLM,F0,thought,20,0.030855053349545126,0.5862460136413574,19
Qwen/Qwen2.5-7B,CLM,F0,thought,30,0.02022155399980216,0.5864250659942627,29
Qwen/Qwen2.5-7B,CLM,F0,space,0,,,0
Qwen/Qwen2.5-7B,CLM,F0,space,1,,,0
Qwen/Qwen2.5-7B,CLM,F0,space,3,0.013497221283614635,0.02699444256722927,2
Qwen/Qwen2.5-7B,CLM,F0,space,5,0.010777577757835388,0.04311031103134155,4
Qwen/Qwen2.5-7B,CLM,F0,space,10,0.008182896508110894,0.07364606857299805,9
Qwen/Qwen2.5-7B,CLM,F0,space,20,0.004904536040205704,0.09318618476390839,19
Qwen/Qwen2.5-7B,CLM,F0,space,30,0.01696834893062197,0.4920821189880371,29
Qwen/Qwen2.5-7B,CLM,F0,ankle,0,,,0
Qwen/Qwen2.5-7B,CLM,F0,ankle,1,,,0
Qwen/Qwen2.5-7B,CLM,F0,ankle,3,0.02816745638847351,0.05633491277694702,2
Qwen/Qwen2.5-7B,CLM,F0,ankle,5,0.016905512660741806,0.06762205064296722,4
Qwen/Qwen2.5-7B,CLM,F0,ankle,10,0.006772730085584853,0.06095457077026367,9
Qwen/Qwen2.5-7B,CLM,F0,ankle,20,0.00496158474370053,0.09427011013031006,19
Qwen/Qwen2.5-7B,CLM,F0,ankle,30,0.004320841411064411,0.12530440092086792,29
Qwen/Qwen2.5-7B,CLM,F0,virtue,0,,,0
Qwen/Qwen2.5-7B,CLM,F0,virtue,1,,,0
Qwen/Qwen2.5-7B,CLM,F0,virtue,3,0.027993613854050636,0.05598722770810127,2
Qwen/Qwen2.5-7B,CLM,F0,virtue,5,0.019107546657323837,0.07643018662929535,4
Qwen/Qwen2.5-7B,CLM,F0,virtue,10,0.01338121708896425,0.12043095380067825,9
Qwen/Qwen2.5-7B,CLM,F0,virtue,20,0.005574580085904975,0.10591702163219452,19
Qwen/Qwen2.5-7B,CLM,F0,virtue,30,0.004531904027379793,0.13142521679401398,29
Qwen/Qwen2.5-7B,CLM,F0,moon,0,,,0
Qwen/Qwen2.5-7B,CLM,F0,moon,1,,,0
Qwen/Qwen2.5-7B,CLM,F0,moon,3,0.034645356237888336,0.06929071247577667,2
Qwen/Qwen2.5-7B,CLM,F0,moon,5,0.02942623570561409,0.11770494282245636,4
Qwen/Qwen2.5-7B,CLM,F0,moon,10,0.011150393221113417,0.10035353899002075,9
Qwen/Qwen2.5-7B,CLM,F0,moon,20,0.006163745726409711,0.11711116880178452,19
Qwen/Qwen2.5-7B,CLM,F0,moon,30,0.0042169502583043325,0.12229155749082565,29
Qwen/Qwen2.5-7B,CLM,F0,crystal,0,,,0
Qwen/Qwen2.5-7B,CLM,F0,crystal,1,,,0
Qwen/Qwen2.5-7B,CLM,F0,crystal,3,0.013621127232909203,0.027242254465818405,2
Qwen/Qwen2.5-7B,CLM,F0,crystal,5,0.012492218986153603,0.04996887594461441,4
Qwen/Qwen2.5-7B,CLM,F0,crystal,10,0.0067443760732809705,0.06069938465952873,9
Qwen/Qwen2.5-7B,CLM,F0,crystal,20,0.0036474011446300304,0.06930062174797058,19
Qwen/Qwen2.5-7B,CLM,F0,crystal,30,0.0029561452824493936,0.08572821319103241,29
