word,category,concreteness_group,frequency_group,semantic_class,word_length,zipf_frequency,notes,token_id,encoded_form
intuition,abstract_low,abstract,low,cognition,9,3.54,,57351, intuition
paradox,abstract_low,abstract,low,cognition,7,3.63,,52313, paradox
logic,abstract_low,abstract,mid,cognition,5,4.36,,12496, logic
intent,abstract_low,abstract,mid,cognition,6,4.28,,7537, intent
doubt,abstract_low,abstract,high,cognition,5,4.9,,10712, doubt
clarity,abstract_low,abstract,low,cognition,7,3.9,,32373, clarity
loyalty,abstract_low,abstract,mid,social_concept,7,4.17,,32883, loyalty
solitude,abstract_low,abstract,low,social_concept,8,3.42,,99544, solitude
ritual,abstract_low,abstract,mid,social_concept,6,4.02,,28278, ritual
tradition,abstract_low,abstract,mid,social_concept,9,4.5,,14135, tradition
legend,abstract_low,abstract,mid,social_concept,6,4.44,,13314, legend
custom,abstract_low,abstract,mid,social_concept,6,4.43,,2587, custom
democracy,abstract_low,abstract,mid,political_concept,9,4.51,,20095, democracy
republic,abstract_low,abstract,mid,political_concept,8,4.6,,35544, republic
treaty,abstract_low,abstract,mid,political_concept,6,4.31,,38997, treaty
doctrine,abstract_low,abstract,low,political_concept,8,3.98,,33235, doctrine
regime,abstract_low,abstract,mid,political_concept,6,4.3,,17942, regime
policy,abstract_low,abstract,high,political_concept,6,5.17,,4947, policy
authority,abstract_low,abstract,high,political_concept,9,4.81,,11447, authority
liberty,abstract_low,abstract,mid,political_concept,7,4.34,,31220, liberty
tyranny,abstract_low,abstract,low,political_concept,7,3.52,,78001, tyranny
mercy,abstract_low,abstract,mid,moral_concept,5,4.25,,39324, mercy
virtue,abstract_low,abstract,low,moral_concept,6,3.94,,35460, virtue
vice,abstract_low,abstract,mid,moral_concept,4,4.71,,17192, vice
duty,abstract_low,abstract,mid,moral_concept,4,4.71,,14523, duty
shame,abstract_low,abstract,mid,moral_concept,5,4.55,,21648, shame
guilt,abstract_low,abstract,mid,moral_concept,5,4.13,,34951, guilt
dignity,abstract_low,abstract,mid,moral_concept,7,4.02,,38929, dignity
integrity,abstract_low,abstract,mid,moral_concept,9,4.22,,17025, integrity
ambition,abstract_low,abstract,low,cognition,8,3.91,,45715, ambition
destiny,abstract_low,abstract,mid,cognition,7,4.19,,47176, destiny
essence,abstract_low,abstract,mid,cognition,7,4.03,,28591, essence
origin,abstract_low,abstract,mid,cognition,6,4.55,,6371, origin
purpose,abstract_low,abstract,high,cognition,7,4.88,,7580, purpose
notion,abstract_low,abstract,mid,cognition,6,4.17,,23035, notion
legacy,abstract_low,abstract,mid,social_concept,6,4.37,,20160, legacy
burden,abstract_low,abstract,mid,cognition,6,4.23,,23104, burden
symbol,abstract_low,abstract,mid,cognition,6,4.31,,7891, symbol
metaphor,abstract_low,abstract,low,cognition,8,3.73,,46450, metaphor
perception,abstract_low,abstract,mid,cognition,10,4.18,,21063, perception
imagination,abstract_low,abstract,mid,cognition,11,4.22,,28899, imagination
conscience,abstract_low,abstract,low,cognition,10,3.96,,42563, conscience
